ticker,display_name,name,asset_class,instrument_type,exchange,quote_currency,point_size,price_divisor,enabled
ABEA.DE,Alphabet Inc - class A,Alphabet Inc.,STOCK,REAL,XETRA,EUR,0.01,1,true
NVD.DE,NVIDIA Corp,NVIDIA Corporation,STOCK,REAL,XETRA,EUR,0.01,1,true
TL0.DE,Tesla Inc.,"Tesla, Inc.",STOCK,REAL,XETRA,EUR,0.01,1,true
S0LR.DE,Invesco Solar Energy UCITS ETF,Invesco Solar Energy UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
XAD6.DE,Xtrackers Physical Silver ETC,Xtrackers Physical Silver ETC (EUR),ETC,REAL,XETRA,EUR,0.01,1,true
IDR.MC,Indra Sistemas SA,"Indra Sistemas, S.A.",STOCK,REAL,BME Madrid,EUR,0.01,1,true
AAPL,Apple Inc CFD,Apple Inc.,STOCK,CFD,NASDAQ,USD,0.01,1,true
GLD,SPDR Gold Shares CFD,SPDR Gold Shares,ETF,CFD,NYSE Arca,USD,0.01,1,false
2B76.DE,iShares Automation & Robotics UCITS ETF,iShares Automation & Robotics UCITS ETF,ETF,REAL,XETRA,EUR,0.001,1,true
2B79.DE,iShares Digitalisation UCITS ETF,iShares Digitalisation UCITS ETF,ETF,REAL,XETRA,EUR,0.001,1,true
2B7C.DE,iShares S&P 500 Industrials Sector UCITS ETF,iShares S&P 500 Industrials Sector UCITS ETF,ETF,REAL,XETRA,EUR,0.001,1,true
3USL.L,WisdomTree S&P 500 3x Daily Leveraged,WisdomTree S&P 500 3x Daily Leveraged,ETN,REAL,London Stock Exchange,USD,0.01,1,true
4MMR.DE,Global X Defence Tech UCITS ETF,Global X Defence Tech UCITS ETF USD Accumulating,ETF,REAL,XETRA,EUR,0.001,1,true
A1P0.DE,Defiance AI & Power Infrastructure ETF,Defiance AI & Power Infrastructure ETF USD Acc,ETF,REAL,XETRA,EUR,0.001,1,true
AAKI.DE,ARK Artificial Intelligence & Robotics UCITS ETF,ARK Artificial Intelligence & Robotics UCITS ETF Class A USD Accumulation,ETF,REAL,XETRA,EUR,0.001,1,true
ASWC.DE,HANetf Future of Defence UCITS ETF Acc,Future of Defence UCITS ETF,ETF,REAL,XETRA,EUR,0.001,1,true
BLC.PA,Bastide Le Confort Medical SA,Bastide Le Confort Medical SA,STOCK,REAL,Euronext Paris,EUR,0.01,1,true
BTCE.DE,Bitwise Physical Bitcoin ETC,Bitwise Physical Bitcoin ETC,ETC,REAL,XETRA,EUR,0.0001,1,true
C8PX.DE,Global X AI Semiconductor & Quantum UCITS ETF,Global X AI Semiconductor & Quantum UCITS ETF USD Acc,ETF,REAL,XETRA,EUR,0.001,1,true
